,list,director
0,Sen to Chihiro no kamikakushi,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
1,Mononoke-hime,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
2,Hauru no ugoku shiro,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
3,Shichinin no samurai,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
4,Tonari no Totoro,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
5,Hotaru no haka,"<a href=""/name/nm0847223/"">Isao Takahata</a>"
6,Kimi no Na wa.,"<a href=""/name/nm1396121/"">Makoto Shinkai</a>"
7,Batoru rowaiaru,"<a href=""/name/nm0297935/"">Kinji Fukasaku</a>"
8,Akira,"<a href=""/name/nm0960028/"">Katsuhiro Ôtomo</a>"
9,Kaze no tani no Naushika,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
10,Rashômon,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
11,Tenkû no shiro Rapyuta,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
12,Kôkaku Kidôtai,"<a href=""/name/nm0651900/"">Mamoru Oshii</a>"
13,Majo no takkyûbin,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
14,Gake no ue no Ponyo,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
15,Ran,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
16,Yôjinbô,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
17,Karigurashi no Arietty,"<a href=""/name/nm0948488/"">Hiromasa Yonebayashi</a>"
18,Kurenai no buta,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
19,Kaze tachinu,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
20,Ôdishon,"<a href=""/name/nm0586281/"">Takashi Miike</a>"
21,Paprika,"<a href=""/name/nm0464804/"">Satoshi Kon</a>"
22,Ikiru,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
23,Manbiki kazoku,"<a href=""/name/nm0466153/"">Hirokazu Koreeda</a>"
24,Pâfekuto burû,"<a href=""/name/nm0464804/"">Satoshi Kon</a>"
25,Ringu,"<a href=""/name/nm0620378/"">Hideo Nakata</a>"
26,Koe no katachi,"<a href=""/name/nm2210720/"">Naoko Yamada</a>"
27,Jûsan-nin no shikaku,"<a href=""/name/nm0586281/"">Takashi Miike</a>"
28,Toki o kakeru shôjo,"<a href=""/name/nm0396074/"">Mamoru Hosoda</a>"
29,Tôkyô monogatari,"<a href=""/name/nm0654868/"">Yasujirô Ozu</a>"
30,Mimi wo sumaseba,"<a href=""/name/nm0464911/"">Yoshifumi Kondô</a>"
31,Fainaru fantajî sebun adobento chirudoren,"<a href=""/name/nm0634602/"">Tetsuya Nomura</a>"
32,Byôsoku 5 senchimêtoru,"<a href=""/name/nm1396121/"">Makoto Shinkai</a>"
33,Koroshiya 1,"<a href=""/name/nm0586281/"">Takashi Miike</a>"
34,Neko no ongaeshi,"<a href=""/name/nm1293863/"">Hiroyuki Morita</a>"
35,Okuribito,"<a href=""/name/nm0847690/"">Yôjirô Takita</a>"
36,Seppuku,"<a href=""/name/nm0462030/"">Masaki Kobayashi</a>"
37,Kumonosu-jô,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
38,Zatôichi,"<a href=""/name/nm0001429/"">Takeshi Kitano</a>"
39,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","<a href=""/name/nm0030417/"">Hideaki Anno</a>"
40,Cowboy Bebop: Tengoku no tobira,"<a href=""/name/nm0913860/"">Shin'ichirô Watanabe</a>"
41,Kaguya-hime no monogatari,"<a href=""/name/nm0847223/"">Isao Takahata</a>"
42,Ôkami kodomo no Ame to Yuki,"<a href=""/name/nm0396074/"">Mamoru Hosoda</a>"
43,Kimetsu no Yaiba: Mugen Ressha-Hen,"<a href=""/name/nm1417038/"">Haruo Sotozaki</a>"
44,Tengoku to jigoku,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
45,Kokuriko-zaka kara,"<a href=""/name/nm2066439/"">Gorô Miyazaki</a>"
46,Koto no ha no niwa,"<a href=""/name/nm1396121/"">Makoto Shinkai</a>"
47,Kokuhaku,"<a href=""/name/nm0620363/"">Tetsuya Nakashima</a>"
48,Kakushi-toride no san-akunin,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
49,Inosensu: Innocence,"<a href=""/name/nm0651900/"">Mamoru Oshii</a>"
50,Jûbê ninpûchô,"<a href=""/name/nm0159109/"">Yoshiaki Kawajiri</a>"
51,Kagemusha,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
52,Vampire Hunter D: Bloodlust,"<a href=""/name/nm0282027/"">Jack Fletcher</a>"
53,Death Note: Desu nôto,"<a href=""/name/nm0437526/"">Shûsuke Kaneko</a>"
54,Hana-bi,"<a href=""/name/nm0001429/"">Takeshi Kitano</a>"
55,Sanjuro,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
56,Tôkyô goddofâzâzu,"<a href=""/name/nm0464804/"">Satoshi Kon</a>"
57,Dragon Ball Z: Doragon bôru Z - Kami to Kami,"<a href=""/name/nm0396075/"">Masahiro Hosoda</a>"
58,Gojira,"<a href=""/name/nm0393094/"">Ishirô Honda</a>"
59,Yume,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
60,Tasogare Seibei,"<a href=""/name/nm0945282/"">Yôji Yamada</a>"
61,Samâ uôzu,"<a href=""/name/nm0396074/"">Mamoru Hosoda</a>"
62,Dare mo shiranai,"<a href=""/name/nm0466153/"">Hirokazu Koreeda</a>"
63,Metoroporisu,"<a href=""/name/nm0727336/"">Rintarô</a>"
64,Rupan sansei: Kariosutoro no shiro,"<a href=""/name/nm0594503/"">Hayao Miyazaki</a>"
65,Omoide no Marnie,"<a href=""/name/nm0948488/"">Hiromasa Yonebayashi</a>"
66,Appurushîdo,"<a href=""/name/nm0032925/"">Shinji Aramaki</a>"
67,Sennen joyû,"<a href=""/name/nm0464804/"">Satoshi Kon</a>"
68,Rurôni Kenshin: Meiji kenkaku roman tan,"<a href=""/name/nm3311094/"">Keishi Otomo</a>"
69,Heisei tanuki gassen ponpoko,"<a href=""/name/nm0847223/"">Isao Takahata</a>"
70,Ugetsu monogatari,"<a href=""/name/nm0003226/"">Kenji Mizoguchi</a>"
71,Kikujirô no natsu,"<a href=""/name/nm0001429/"">Takeshi Kitano</a>"
72,Kal Hee,"<a href=""/name/nm0847223/"">Isao Takahata</a>"
73,Dragon Ball Super: Doragon bôru cho,"<a href=""/name/nm0637586/"">Masako Nozawa</a>"
74,Tetsuo,"<a href=""/name/nm0875354/"">Shin'ya Tsukamoto</a>"
75,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',"<a href=""/name/nm2238569/"">Tadayoshi Yamamuro</a>"
76,Sonatine,"<a href=""/name/nm0001429/"">Takeshi Kitano</a>"
77,Dolls,"<a href=""/name/nm0001429/"">Takeshi Kitano</a>"
78,Soshite chichi ni naru,"<a href=""/name/nm0466153/"">Hirokazu Koreeda</a>"
79,Evangelion Shin Gekijôban: Jo,"<a href=""/name/nm0556094/"">Masayuki</a>"
80,Death Note - Desu nôto: The Last Name,"<a href=""/name/nm0437526/"">Shûsuke Kaneko</a>"
81,Hausu,"<a href=""/name/nm0643171/"">Nobuhiko Ôbayashi</a>"
82,Suna no onna,"<a href=""/name/nm0856267/"">Hiroshi Teshigahara</a>"
83,Memorîzu,"<a href=""/name/nm0605479/"">Kôji Morimoto</a>"
84,Akahige,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
85,Evangerion shin gekijôban: Ha,"<a href=""/name/nm0556094/"">Masayuki</a>"
86,Jin-Rô,"<a href=""/name/nm0645657/"">Hiroyuki Okiura</a>"
87,Nora inu,"<a href=""/name/nm0000041/"">Akira Kurosawa</a>"
88,Onibaba,"<a href=""/name/nm0793881/"">Kaneto Shindô</a>"
89,Kaidan,"<a href=""/name/nm0462030/"">Masaki Kobayashi</a>"
90,Sanshô dayû,"<a href=""/name/nm0003226/"">Kenji Mizoguchi</a>"
91,Kôkaku kidôtai 2.0,"<a href=""/name/nm0651900/"">Mamoru Oshii</a>"
92,Banshun,"<a href=""/name/nm0654868/"">Yasujirô Ozu</a>"
93,Hoshi o Ou Kodomo,"<a href=""/name/nm1396121/"">Makoto Shinkai</a>"
94,Kyûketsuki hantâ D,"<a href=""/name/nm0038953/"">Toyoo Ashida</a>"
95,Aruitemo aruitemo,"<a href=""/name/nm0466153/"">Hirokazu Koreeda</a>"
96,"Kumo no mukô, yakusoku no basho","<a href=""/name/nm1396121/"">Makoto Shinkai</a>"
97,Kamera o tomeru na!,"<a href=""/name/nm4940051/"">Shin'ichirô Ueda</a>"
98,Tekkon kinkurîto,"<a href=""/name/nm0034712/"">Michael Arias</a>"
99,Hotarubi no mori e,"<a href=""/name/nm0648464/"">Takahiro Ômori</a>"
